,Fintech-Revenue-SQL-Analysis-Raw_Data,,,,,,,,
,,,,,,,,,
,,,,,,,,,
transaction_id,transaction_date,customer_id,customer_name,transaction_type,amount,fee,status,payment_method,city
1001,2025-01-03 00:00:00,C001,Aarav Sharma,UPI,2500,25,Completed,UPI,Mumbai
1002,2025-01-05 00:00:00,C002,Priya Patel,Card Payment,4200,84,Completed,Credit Card,Pune
1003,2025-01-08 00:00:00,C003,Rahul Verma,Bank Transfer,7500,75,Completed,Net Banking,Delhi
1004,2025-01-12 00:00:00,C004,Sneha Joshi,UPI,1800,18,Completed,UPI,Bangalore
1005,2025-01-15 00:00:00,C005,Vikram Singh,Card Payment,6200,124,Completed,Debit Card,Mumbai
1006,2025-01-18 00:00:00,C006,Neha Gupta,Wallet,3200,64,Completed,Wallet,Pune
1007,2025-01-21 00:00:00,C007,Rohan Mehta,UPI,4500,45,Completed,UPI,Hyderabad
1008,2025-01-24 00:00:00,C008,Ananya Rao,Bank Transfer,8500,85,Completed,Net Banking,Chennai
1009,2025-01-27 00:00:00,C009,Karan Shah,Card Payment,5100,102,Failed,Credit Card,Mumbai
1010,2025-01-29 00:00:00,C010,Isha Kapoor,UPI,2900,29,Completed,UPI,Delhi
1011,2025-02-02 00:00:00,C001,Aarav Sharma,UPI,3100,31,Completed,UPI,Mumbai
1012,2025-02-04 00:00:00,C002,Priya Patel,Card Payment,5600,112,Completed,Credit Card,Pune
1013,2025-02-07 00:00:00,C003,Rahul Verma,Bank Transfer,9200,92,Completed,Net Banking,Delhi
1014,2025-02-10 00:00:00,C004,Sneha Joshi,UPI,2200,22,Completed,UPI,Bangalore
1015,2025-02-13 00:00:00,C005,Vikram Singh,Card Payment,7100,142,Completed,Debit Card,Mumbai
1016,2025-02-16 00:00:00,C006,Neha Gupta,Wallet,3800,76,Failed,Wallet,Pune
1017,2025-02-19 00:00:00,C007,Rohan Mehta,UPI,4900,49,Completed,UPI,Hyderabad
1018,2025-02-22 00:00:00,C008,Ananya Rao,Bank Transfer,10200,102,Completed,Net Banking,Chennai
1019,2025-02-25 00:00:00,C009,Karan Shah,Card Payment,6300,126,Completed,Credit Card,Mumbai
1020,2025-02-27 00:00:00,C010,Isha Kapoor,UPI,3400,34,Completed,UPI,Delhi
1021,2025-03-01 00:00:00,C001,Aarav Sharma,UPI,3700,37,Completed,UPI,Mumbai
1022,2025-03-04 00:00:00,C002,Priya Patel,Card Payment,6100,122,Completed,Credit Card,Pune
1023,2025-03-07 00:00:00,C003,Rahul Verma,Bank Transfer,11000,110,Completed,Net Banking,Delhi
1024,2025-03-10 00:00:00,C004,Sneha Joshi,UPI,2700,27,Completed,UPI,Bangalore
1025,2025-03-13 00:00:00,C005,Vikram Singh,Card Payment,7900,158,Completed,Debit Card,Mumbai
1026,2025-03-16 00:00:00,C006,Neha Gupta,Wallet,4100,82,Completed,Wallet,Pune
1027,2025-03-19 00:00:00,C007,Rohan Mehta,UPI,5300,53,Completed,UPI,Hyderabad
1028,2025-03-22 00:00:00,C008,Ananya Rao,Bank Transfer,11500,115,Completed,Net Banking,Chennai
1029,2025-03-25 00:00:00,C009,Karan Shah,Card Payment,6800,136,Failed,Credit Card,Mumbai
1030,2025-03-28 00:00:00,C010,Isha Kapoor,UPI,3900,39,Completed,UPI,Delhi
1031,2025-04-02 00:00:00,C001,Aarav Sharma,UPI,4200,42,Completed,UPI,Mumbai
1032,2025-04-05 00:00:00,C002,Priya Patel,Card Payment,6800,136,Completed,Credit Card,Pune
1033,2025-04-08 00:00:00,C003,Rahul Verma,Bank Transfer,12500,125,Completed,Net Banking,Delhi
1034,2025-04-11 00:00:00,C004,Sneha Joshi,UPI,3100,31,Completed,UPI,Bangalore
1035,2025-04-14 00:00:00,C005,Vikram Singh,Card Payment,8500,170,Completed,Debit Card,Mumbai
1036,2025-04-17 00:00:00,C006,Neha Gupta,Wallet,4500,90,Completed,Wallet,Pune
